,Unnamed: 0,tweet,sentiment
0,0,حمد جمال دين قياد حزب مصر مناسب صدور روايه,positive
1,1,برادع يستقوي بامريكا مرهاخري رسل عصام عري واشنطن شاء مقرف,negative
2,2,الوالده اقولها خاطر حشيش ضحك بس اقولها ملل الله كيل اعطي محاضر فسق فجور شيش لاه يانبع حنان,neutral
3,3,انتخبوالعرص انتخبوالبرص مرسيرئيسي اينرئيسي,neutral
4,4,عيد علا يتقال ستريكر صريح كاريوكي السكهشمال,positive
5,5,عود جماع اخوان لحي السياسيه نفس وضع سابق مستحيل والطرمخه جرائم تقدم شبر,negative
6,6,الصداقه زرع لحي زهار ميزياده,positive
7,7,اصرار الاستفتاء طن ممزق غلي شعب غياب امن قضاء معطل واعلام محاصر انعدام احساس بالمسؤوليه مصر,negative
8,8,دضياء رشو عبد منعم ابو فتوح اعتدال سياسي دين اجتهد مقاصد الشريعه,positive
9,9,دين شد تقديم صاحب راي ناشط سياسه محاكم العسكريه مجلس عسكر التزام تعهد احاله مدن محاكم عسكر,negative
10,10,ماش هنسالك وانتا واقف جنب تطلب قصاص كلاب الداخليه ضرب رصاص جيكا,neutral
11,11,عنف مد ضد منشات خاص ضد مجمع محاكم اقسام للشرطه مقر اعلام حزب اخوان اون لاين الاجهزه الامنيه متظاهر,negative
12,12,زملاء محام راغب انضمام لمبادرهسامعين صوتكالتي هدف دمج متحد الاعاقه مجتمع اسعد اشتراك,positive
13,13,اابني مستقبل شرب حشيش عاادي تصااحب بنااااات شغال ضرب ابوك وماالو بس تطلع زملكاوي هولع ابو,neutral
14,14,حضار جود المراه جبي نثق قدر المراه دائم جزء نجاح المراه تكون,positive
17,17,نفس خط ارتاب صرف فلوس دنيا عش شوه الاخوان ماش حاعرف اخترع حد زي صفا حجاز,negative
19,19,اسمفيلمبتحبه اسف ازعاج,positive
20,20,ماش عيب تكذب عمر ما عمل هعمل بل حد مدح نفس,negative
21,21,ضعف انتخاب جماهير اقتصر احزاب الجديده اطال تاكيد قوه راسخ مشهد سياسه الا عقود سلطوي مبار الطويله نهكه,negative
22,22,مصرالقويه حذر خطر سلط الدوله مجرد سند سلط عسكر تف سياسه اعيا معني الدوله ومهامها حدود خارج كره حمل سلاح,negative
23,23,حت ما قدم انصار تيار شعار الاسلاميه مصر مجرد مشاريع خناق عالم كون ابناء وطن,negative
24,24,باسمطلعحرامي يا حرام,negative
26,26,سلف سعيد عبد عظيم مرس ايه الله نسي الله اعال رسل مصر ايام موسي ايه جراد قمل ضفادع دم,negative
27,27,لسان عرب الالسنه زمن ربيع الازمنه اليومالعالميللغهالعربيه,positive
28,28,ورك مولود دعا الله جمع شمل الاسره بيت طيب خالد نعم الابن نعم ابوي,positive
30,30,كثر شعور وجع تجوع بيت مو بيت ايموشنموجب,negative
31,31,هاتلي اخوان حاج ماش تنوين ماش ضمير اخوان كلم ماش هتلاقي لوط شياط,negative
32,32,عايز تكون عضو حمل مشير السيسي سهل جدا ساعد اننا عمل شار سانتخبالسيسي,positive
33,33,الماظهلابد معاير عداد توحيد التعريفه القاطنينالتقديرات الجزافيه ظلم لابد توقف,negative
35,35,جمهور مصر الطبيعيه جمهور ديمقراطي حقيق جمهور مدن احمي حقوق المواطنه المساواه عدل,positive
36,36,كنت كره القراءه مهوس بها بيت معرضالكتاب ممتن جدا استاذي,positive
38,38,الاسوانيماذا علو الاخوان رداعلي سحل فت تعري قتل عسكر كانو متحالف انذاك,negative
39,39,حر تعبير تضمن تحريض عنف لفت الطائفيه بل خطاب كراه,negative
40,40,قصد موجه كذب انه ما نتش,negative
41,41,محب برنامج بيزيدوا,positive
42,42,مرس فتح نفس فتوح ضن الرئاسيه دي دهي ناس هيبقي الشتيمه دهي,negative
43,43,ابدا مسرور كلام,positive
47,47,بكره مايستقيل خد معي ميكروفون البيتبكري متن خد غرض مجلس,negative
48,48,كامل احترام عباس مسك لسان ما شتمش,positive
50,50,خلقجميل نقول حمد حاج ماش بيعمل حاج وحش ابدا,positive
52,52,سخره قدر الاخوان بارهابهم حينجحوا السيسي الدوله غباء حتنجح حمد مصر,neutral
53,53,بقي دائم سؤال جامد قوه مفترض معارض بيموتوا غيظ شاغل نفس يهم لاه ما بتستمتعش بحلاوه انجازاتكالاجابهلانك فاشل,negative
54,54,اكتري شيء اهم معرفه دهي مشروع استقلال حقيق كار مفاوض نفس توكيل,neutral
56,56,نعت رئيس حشد مذهب طائفي رئيس تكفير منتخب امتنع تشويه موقف تحويل عبث شيء رفض المذهبيه تكفير,negative
57,57,ناس لازم تحسي جت فايد مستوي الاقتصادي والاجتماعيوسفالحسيني نقطهلقاء مص,positive
60,60,ابو فتوح الحكومه الاسرائيليه اطال صراع الفلسطينين امكن استمرار التماس,negative
