كيزان	كوز
مناطق 	منطقة 
منافذ 	منفذ 
منافع 	منفعة 
مناهج 	منهج 
مواليد 	مولود 
اندال	ندل
اصابع	اصبع
ارامل	ارمل
اجانب	اجنبي
اجور	اجر
عصائر	عصير
ادوات	اداة
اوامر	امر
ابواب	باب
بواطن	باطن
بواقي	باقي
براعم	برعم
بحور	بحر
ابار	بئر
تيجان	تاج
جبناء	جبان
جوعي	جوعان
جياع	جوعان
جعان	جوعان
موانئ	ميناء
جموع	جمع
تجارب	تجربة
تمر	تمره 
ثمر 	ثمره
جروح	جرح
جدران	جدار
جثث	جثه
جرحي	جريح
جرائح	جريح
اجران	جرن
اجزاء	جزء
أكوان 	كون
أشجان 	شجن
حمقي	احمق
ادله 	دليل
أغبياء	غبي
اتقياء	تقي
دعاوي	دعوه
بنات 	بنت 
عراه	عريان
جيران	جار
فراعين	فرعون
نجوم	نجم
الياف	ليف
ليال	ليل
البان	لبن
ذنوب	ذنب
قري	قريه
اكتاف	كتف
كراسي	كرسي
برامج	برنامج
لحوم	لحم
كهوف	كهف
رؤوس	رأس
ديدان	دودة
جراثيم	جرثومة
مواعيد	موعد
اجنه	جنين
اعمدة	عامود
عواميد	عامود 
قرابين	قربان
اسماء	اسم
عصافير	عصفور
اعضاء	عضو
غدد	غدة
فيران	فار
حشائش حشيش
صواني 	صينيه
كراتين	كرتون
اوعية	وعاء
اعشاش	عش
مزايا	ميزة
مظاهر 	مظهر 
قنوات	قناة
سنابل سنبل 
اسس	اساس
عيدان	عود
اعفان	عفن
ثغور	ثغر
مراكز	مركز
اعداد	عدد
الاف	الف
حبوب 	حب
سنادات	سند
اسابيع	اسبوع
عناصر	عنصر 
اواني	اناء
تكاليف	تكلفة
اوز	وزة
انسجة	نسيج
مصايد	مصيدة
هجن	هجين
محاصيل	محصول
قوائم	قائمة
مراحل 	مرحله 
المان 	الماني
نقاط 	نقطه 
اسابيع	اسبوع
اتربة	تراب
اماكن	مكان
محاريت	محرات
مياه	ماء
زراع	زارع
قنوات	قناة
سنيبلات	سنبلة
اصداء	صدأ
اعباء	عبء
اجنحه جناح 
فئران	فأر
علائق	علقة
تكاليف	تكلفة
مناصب 	منصب 
طرق	طريق
مراكب	مركب
خنافس	خنفس
خنفساء	خنفس 
شرائط	شريط
شرائح	شريحة
مربو	مربي
اخصائيو	اخصائي
مواد	مادة
بدائل	بديل
اراضي	ارض
محاريت	محرات
مراوح	مروحة
مساجد	مسجد
قمم	قمة
مربات	مرأة
شباب	شاب
غرابيل 	غربال
اطارف	طرف
اعداء	عدو
خسائر	خسارة
دلائل	دليل
اشرطة	شريط
سكاكين    سكين    
اواني	اناء
محاصيل	محصول
سيقان ساق
احذية    حذاء 
انابيب	انبوب
اوائل	اول
بساتين	بستان
مواسير	ماسورة
بلاد	بلد
عباقرة	عبقري
جداول	جدول
مرافق	مرفق
صحاري	صحراء
اجهزه	جهاز
