,Unnamed: 0,tweet,sentiment
0,0,احمد جمال دين قيادي حزب مصر مناسب صدور روايه,positive
1,1,برادعي استقوي امريكا مرهاخري ارسل عصام عريان واشنطون شئ مقرف,negative
2,2,والد اقول خاطر حشيش ضحك بس اقول ملل الله كيل اعطي محضر فسق فجور شيشان يانبع حنان,neutral
3,3,انتخبوالعرص انتخبوالبرص مرسيرئيسي اينرئيسي,neutral
4,4,عيد فعل يتقال ستريكر صريح كاريوكي سكهشمال,positive
5,5,عود جماع حياه سياسيه نفس وضع سابق مستحيل طرمخه جريمه تقدم شبر,negative
6,6,صداقه زرع حياه زهور ميزياده,positive
7,7,اصرار استفتاء وطن ممزق غليان شعبي غياب امني قضاء معطل علم محاصر انعدام احساس مسؤول مصر,negative
8,8,دضياء رشوان عبد منعم ابو فتح اعتدال سياسي دين اجتهد مقصد شريعه,positive
9,9,ادان شد تقديم صاحب راي ناشط سياسي محاكمه عسكريه مجلس عسكري التزام تعهد احال مدينه محاكمه عسكري,negative
10,10,هنسالك واقف جنب طلب قصاص كلب داخليه ضربو رصاص جيكا,neutral
11,11,عنف مدان ضد منشاه خاص ضد مجمع محكمه قسم شرط مقر اعلامي حزب اون لاين اجهزه امنيه متظاهر,negative
12,12,زميل محامي راغب انضمام لمبادرهسامعين صوتكالتي هدف دمج متحدي اعاقه مجتمع اسعد اشتراك,positive
13,13,اابني المستقبلي شرب حشيش عاادي تصااحب بنااااات شغال ضرب ابو ماالو بس طلع زملكاوي هولع,neutral
14,14,حضار وجود مراه وجب وثق قدره مراه دائم جزء نجاح مراه,positive
17,17,نفس اخطط ارتب اصرف فلس دنيا عشان اشوه اخوان حاعرف اخترع حد زي صفا حجاز,negative
19,19,اسمفيلمبتحبه اسف ازعاج,positive
20,20,عيب كذب عمر ما عمل هعمل بلوك حد مدح نفس,negative
21,21,ضعف انتخابي جماهيري اقتصر حزب جديد يطال تاكيد قوي راسخ مشهد سياسي الا عقد سلطوي مبارك طويل انهك,negative
22,22,مصرالقويه حذر خطر سلطه دوله مجرد سند سلط عسكري فهم سياس وعي معني دوله مهمه حد خارج فكر حمل سلاح,negative
23,23,ما قدم انصار تيار شعار اسلاميه مصر مجرد مشروع خناق عالم كون وطن,negative
24,24,باسمطلعحرامي يا حرام,negative
26,26,سلفي سعيد عبد عظيم مرسي ايه الله نسي الله تعالي ارسل مصر موسي ايه جراد قمل ضفدع دم,negative
27,27,لسان عربي السنه زمن ربيع ازمنه اليومالعالميللغهالعربيه,positive
28,28,بور مولود دعا الله جمع شمل اسر بيت طيب خالد نعم نعمه ابوان,positive
30,30,شعور اوجع ما جاع بيت مو بيت ايموشنموجب,negative
31,31,هاتلي اخوان حاج تنوين ضمير اخوان كلم هتلاقي لوط شيطان,negative
32,32,عاوز عضو حمل مشير سيسي سهل ساعد عمل شير سانتخبالسيسي,positive
33,33,ماظهلابد معاير عداد توحيد تعريف قاطنينالتقديرات جزافيه ظلم بد توقف,negative
35,35,جمهوري مصر طبيعيه جمهوري ديموقراطي حقيقي جمهوري مدني حمي حق مواطن مساواه عدل,positive
36,36,اكره قارئ حولني مهوس بيت معرضالكتاب ممتن استاذي,positive
38,38,اسوانيماذا فعل رداعلي سحل فتي تعريه قتل عسكر متحالف انذاك,negative
39,39,تعبير تضمن تحريض عنف فتن طائفي بل خطاب كراهي,negative
40,40,قصدي موجه كذب ما نتش,negative
41,41,محب برنامج بيزيدوا,positive
42,42,مرسي فتح نفس فتح ضنك رئاسيه دي ده ناس هيبقي شتيمه كد,negative
43,43,ابد مسرور كلام,positive
47,47,بكر مايستقيل خد معا ميكروفون بيتبكري متن خد غرض مجلس,negative
48,48,كامل احترام عباس مسك لسان ما شتمش,positive
50,50,خلقجميل حمد الله حاج عمل حاج وحش ابد,positive
52,52,سخري قدر اخوان ارهاب حينجحوا سيسي دوله غباء حتنجح حمدين مصر,neutral
53,53,ابقي دائم سؤال ما جامد قوي مفترض معارض بيموتوا غيظ شاغل نفس ما بتستمتعش حلاو انجازاتكالاجابهلانك فاشل,negative
54,54,اكتري شيء اهم معرفه ده مشروع استقلال حقيقي كارت مفاوضه نفس توكيل,neutral
56,56,انعت رئيس حشد مذهبي طائفي رئيس تكفير منتخب امتنع تشويه موقف تحويل عبث شيء رفض مذهبيه تكفير,negative
57,57,ناس لازم احس جت فايد مستوي اقتصادي اجتماعيوسفالحسيني نقطهلقاء مص,positive
60,60,ابو فتح حكومه اسرائيلي تطيل امبير صراع الفلسطينين امكن استمرار تماسك,negative
61,61,النهارده تحقيق استقصائي عبقري فساد بورصه مصريللاسف هيتوه زحم حدث,positive
62,62,استمرار حراك طلابي جامعهالمنصوره مفيشعساكريحكمونا,negative
63,63,اكبر معوق خازوق شايف كد وجب اكمل مشوار,negative
64,64,راجل بتاع امن نفا معدل نفا دقايق فتح شباك عشان سقعه اشتكي مرار تكرار عم شعب معفن,negative
65,65,حظ عالم اهليالافريقي,negative
66,66,منهج انقلاب قتل قمع سجن معارض اعلام فاسد قضاء مسيس ارتفاع سعر اقتصاد انهار عزل دولي شحات خليجي,negative
67,67,كلب وفي رجاء اهانه,positive
68,68,شريعه حكم كتب وفي رسول غلط ربط خوف حرص معلومه صح,neutral
70,70,قتلي مصاب محافظه مختلف مقدمه كارثي اقتتال اهلي حذر دوم انبغي رفض مواجهه دم,negative
71,71,نفس تفو فيفيعبده,negative
72,72,اعجب فيديو صاحبهالسعاده ابراهيمعيسي واقع,positive
73,73,الله باري حمدلله شدو رحل لندن ليفربول كانو واثق عظيم مورينهو صيعري صحاف اعلام,positive
74,74,ده بيقوللك سوري كمان اعلي حاج بيقوللك عبد بياده نفس جمل جيش,negative
75,75,انتخب شفيق ضروره فل فل بساط اشترك استفاد فساد مبارك امكن ثوره تحالف لان ضد,negative
76,76,مصر انقلاب طالب مقعد دائم دوله عربيه مجلس امن مصر عرب اضعف حال مريض طالب اتحاد,negative
77,77,طبق متوسطه اعلي مصر ذهب كتاب مثقف مصر بحث مزيج نادر اتفق طبيعه,positive
78,78,عامل مصر عماد وطن تكرار اعتداء عامل اكد دوله مبارك لم سقط وان تغير وجه,negative
81,81,مناضل حمدينصباحي ناضل ناضل وجد نفس محكوم اعدام اهم ممارس نضال مكان بكر تشوف,positive
83,83,انصار حريه ديمقراطيه اوروبا وضع شجاعه شيئ اخر نادي ايطالي انتظر موقف انقلاب عبد ظاهر,neutral
84,84,معظم اخواان مشاركوش هشتااج مسئ سيسي كد ابقي اخوان باعونا مره مر محمدمحمود مر هشتاجهشتوج,negative
85,85,باري,positive
86,86,استخدام مسجد عمل سياسي نشر عنف,negative
87,87,عفو مبارك نظام رسال شعب رئيس قادم تعالي اسرق استبد ذل مبارك,negative
90,90,مهو ما يصتبح جدول امتحان كد مفروض بقي هيبقي عامل ازاي,negative
91,91,عمر شاف استفتاء دستور اطاح مبدا دستوريه مساواه تكافؤ فرصه قاعده مرحل اقتراع اداره,negative
92,92,ايمان محق تهديد واصل نضال سلمي شعب مصري شاب ثائر استكمال ثوره قصاص دم شهيد وفاء روح شهيد محمدالجندي,positive
93,93,ذكر نبيل مصطفي نبيل كاتب كبير رزق نتمني تذكر باحث اعلام موتهرحمه الله,positive
94,94,الم ممارس فاضح ازدواجي معاير تخوين معارض امل ابتلع قطاع راي طعم مجدد,negative
95,95,ازاي برادعي هولوكوست ماسا انساني بوذا ممكن نبي سلف متطرف طالب عود يهودايهده عصام عريان,negative
96,96,اخر حد رمق معارض امكن نزل انتخاب شعب شوري يتقبض غاي ما تخلص خارط طريق سهل,negative
98,98,اسواني وجد فرق ارهاب كنيسه كاثوليكيه اندلس يد راهب بليد ارهاب اسام لادن,negative
100,100,فهم قانون فقيه دستوري ثروت بدوي عاطف جمال عيد ايد قرار رئيس عود برلمان,positive
101,101,انقلاب اعاد بعيد حريه ضائع تخلف زحف قطاع بكر تشوف مصر,negative
102,102,نبضرابعه شاهد معتقل منيا قاع محكم هتف ساخر قاضي فضيح زوجه مدرب كراتيه,negative
103,103,لم ادعم مرسي قاطع انتخاب اعتراض عزل شفيق محاكمه مرسي فائز طبق تقرير قضي مستقل ثوره اخلاص حقيقه,neutral
106,106,موقف اخوان جو برلمانهمشلت بلطجي جنيهشريط ترمدولوجباتنتذكر سوا سادهالمحترمون,negative
107,107,اراد يجعلونا فعل دين تاجر دين تحيامصر انتخ,neutral
108,108,ممكن مرسي مختفي فتره دي عشان لاقي شاحن راخر اه يادوله عكاك,negative
109,109,فرح لمه خروج ضحكالسنين غني تصوير لفبالعربيه شارع صبح خبر عمرالمسخره انبساط شيخ,positive
110,110,عبد ناصر عمل وحد سوريا بدا ياميش سيسي هيعمل وحد اسرائيل بدا طماطم,neutral
111,111,اخر ساعي يومالجمعه اللهم اسال عيش سعيد موت شهيد فردوس اعلي بجن جنه عدن اللهم امين,positive
112,112,يالله ساعي مطر استجاب دعوه عادل,positive
113,113,دوري سيسي مرارطافح,negative
114,114,غلابه باسمعوده معتقل سجن عسكر لان حلم تقديم افضلمنتجلاكرمشعب انامشرقم انتفاضهالسجون,neutral
115,115,قلم عقب محمد محمود مجد بطل محمد محمودهتفضل مصر شايل جميل دائم ابد,positive
116,116,كفاي اسفاف,negative
117,117,الليسريفودهمعملهمشريتويت دي فتن عشان انقسم عادي العب,negative
118,118,اتفق رجل عرف حق عرف حق رجل,positive
119,119,سيسي لام خطاب ديني مرتبط عصر ما لحق ضرر قطاع سياحه مصر مرسي اخوان السعوديه امارا,negative
120,120,حب ابقي نور قدام احلي كتر كلام موبايل ليل وان تستخبي اهلك,neutral
122,122,اهاجم مرسي استكثر رئاسه بل كذاب مخلف وعد رقبه دم شبابلا اسمي خرفان خروف استحيي دافع كذاب,negative
123,123,عاجبني ايجابيه خايبه بتاع رفقه طيب خليك ايجابي شوي حنك سياسي منظر ستريبتيز مجاني كد مرارطافح ثور,negative
124,124,نتمني رئيس عصام شرف شفاء عاجل نتمني مرض مرض سياسي,neutral
125,125,اعتز مصري صعيد,positive
126,126,عاري عاري عاري عاري عاري عاري مانحن عاري دم نهر شهيد رصاص راس رقبه صدر,negative
128,128,بلطجه اعتداء اعلام محيط اكاديمي شرط سادهالمحترمون,negative
129,129,ردد اراد مصر سياسه برلمان قادم كفي ضرر احدث ثقافه وعي سياسي لغه اسلوب,negative
131,131,بد حمل انتخابي ارض تواصل ناخب ناخب اعتمد فقط صحاف تلفزيون,neutral
133,133,اتمني قوي اسلاميه ليبراليه يساريه راغب فعل تشكيل قائم وطني موحد خوض انتخاب برلمانيه قادم,positive
134,134,فاهم اكتر متابع مجرد حاطط صوره محور اسم ريبورت سبام فضل,negative
135,135,فضيح تان لس ماسك مستشفي راسي سدر عرف دوله حد جنيه لم صرف,negative
136,136,اردوجان مستمر نهج حاول لوث مد ثوري مصري يوسفالحسيني سادهال,negative
137,137,هنلف نفس نقطهلما ثور مضاد ابقي ماتكلمنيش تفكير علمي منطقيبس كد,negative
138,138,حمدينصباحي برنامج هيتحقق بس مقالش هيبقي طبيعي قيصري مستشفي رحم يا,negative
139,139,اوقف قانون عزل يجمد بلاغ فساد ضد شفيق اهدر طعن تزوير جري انتخاب اعاد نزيه تطبيق قانون مقطع شامل,negative
140,140,ما عارف مجموع شيوع اسم ابقي قدم بلاغ ولاتنشر كلام عواهنهكلامك واضح يارجل حوار,negative
141,141,زال ظلم طاعه حنان ضعيف فارس قومي اصطفاف غزهتحتالقصف,neutral
142,142,ابراهيم صلاح ضحي هلال سعودي اتحاد اختار زمالك زملكاوي,positive
143,143,عزل اجباري رئيس مدني منتخب اتمني حدث احترام جوهر حقيقي ديمقراطيه متمثل طلب شعب تغير,negative
144,144,شيخ حازم ابو اسماعيل رد فتوي برهامي اخيره فك الله اسرك يا بطل تعلم منهج دين حق,positive
145,145,يا عزيز حاول مر فات موافق اكلم اجد اجاب شافيهدلوقتي برنامج خلص خلاص,neutral
146,146,حطنفسكمكانالبنت بقي سمع شتايم قذر ناس اقذر شارع عادي اساس ولاد كد تهزر,negative
147,147,امريكا دلوقتي محطه نويه شغال برنامج فضاء شغال بحث علميه استديوهات مصنع حزب حركه رفضانت بقي شغال ايه,negative
